emp_no,first_name,last_name,title,salary,from_date
10451,Bodh,Ranta,Assistant Engineer,46275,3/12/1988
10451,Bodh,Ranta,Engineer,46275,3/12/1988
10451,Bodh,Ranta,Senior Engineer,46275,3/12/1988
10453,Tsvetan,Matzel,Senior Staff,40000,4/2/1985
10453,Tsvetan,Matzel,Staff,40000,4/2/1985
10463,Ung,Zaiane,Staff,66480,2/17/1994
10486,Amstein,Kossowski,Engineer,71692,10/8/1987
10486,Amstein,Kossowski,Senior Engineer,71692,10/8/1987
10494,Yakkov,Servieres,Engineer,50094,12/18/1991
10494,Yakkov,Servieres,Senior Engineer,50094,12/18/1991
10504,Xiong,Varker,Staff,43931,10/19/1999
10512,Udi,Gihr,Senior Staff,40000,11/28/1989
10512,Udi,Gihr,Staff,40000,11/28/1989
10522,Marke,Cesareni,Senior Staff,40000,12/12/1986
10522,Marke,Cesareni,Staff,40000,12/12/1986
10548,Ramalingam,Gunderson,Senior Staff,90631,10/4/1991
10548,Ramalingam,Gunderson,Staff,90631,10/4/1991
10564,Jianhao,Thisen,Engineer,46660,11/23/1995
10564,Jianhao,Thisen,Senior Engineer,46660,11/23/1995
10004,Chirstian,Koblick,Engineer,40054,12/1/1986
10004,Chirstian,Koblick,Senior Engineer,40054,12/1/1986
10009,Sumant,Peac,Assistant Engineer,60929,2/18/1985
10009,Sumant,Peac,Engineer,60929,2/18/1985
10009,Sumant,Peac,Senior Engineer,60929,2/18/1985
10018,Kazuhide,Peha,Engineer,55881,7/29/1992
10018,Kazuhide,Peha,Senior Engineer,55881,7/29/1992
10035,Alain,Chappelet,Engineer,41538,9/5/1988
10035,Alain,Chappelet,Senior Engineer,41538,9/5/1988
10623,Aleksander,Danlos,Engineer,60268,2/11/1996
10623,Aleksander,Danlos,Senior Engineer,60268,2/11/1996
10053,Sanjiv,Zschoche,Senior Staff,67854,11/13/1994
10628,Krisda,Krogh,Assistant Engineer,41650,3/14/1987
10628,Krisda,Krogh,Engineer,41650,3/14/1987
10628,Krisda,Krogh,Senior Engineer,41650,3/14/1987
10631,Inderjeet,Chaudhuri,Engineer,40000,10/18/1994
10642,Hirochika,Narlikar,Engineer,40000,10/5/1998
10653,Otmar,Feinberg,Senior Engineer,40000,4/30/1987
10058,Berhard,McFarlin,Senior Staff,52787,4/25/1988
10066,Kwee,Schusler,Assistant Engineer,69736,2/26/1986
10671,Parviz,Rebaine,Senior Staff,74037,9/14/1995
10671,Parviz,Rebaine,Staff,74037,9/14/1995
10066,Kwee,Schusler,Engineer,69736,2/26/1986
10066,Kwee,Schusler,Senior Engineer,69736,2/26/1986
10676,Valeri,Danley,Engineer,58226,9/4/1999
10067,Claudi,Stavenow,Engineer,44642,3/4/1987
10067,Claudi,Stavenow,Senior Engineer,44642,3/4/1987
10070,Reuven,Garigliano,Technique Leader,55999,10/18/1995
10072,Hironoby,Sidou,Engineer,40000,5/21/1989
10072,Hironoby,Sidou,Senior Engineer,40000,5/21/1989
10076,Erez,Ritzmann,Senior Engineer,47319,7/15/1996
10088,Jungsoon,Syrzycki,Senior Staff,65957,3/21/1992
10088,Jungsoon,Syrzycki,Staff,65957,3/21/1992
10791,Tadahiko,Sgarro,Engineer,40000,7/30/1988
10693,Berhard,Daescu,Senior Staff,40000,1/8/1986
10693,Berhard,Daescu,Staff,40000,1/8/1986
10702,Bader,Szemeredi,Senior Engineer,46581,1/14/1991
10718,Adib,Rullman,Engineer,75473,7/21/1988
10718,Adib,Rullman,Senior Engineer,75473,7/21/1988
10791,Tadahiko,Sgarro,Senior Engineer,40000,7/30/1988
10795,Supot,Naudin,Senior Staff,84206,5/3/1993
10726,Zita,Minakawa,Engineer,46315,2/25/1992
10726,Zita,Minakawa,Senior Engineer,46315,2/25/1992
10734,Sachar,Erdi,Engineer,47377,12/19/1995
10795,Supot,Naudin,Staff,84206,5/3/1993
10808,Chenxi,Leijenhorst,Senior Engineer,40000,3/7/1987
10745,Poorav,Ranze,Engineer,40000,1/23/1988
10745,Poorav,Ranze,Senior Engineer,40000,1/23/1988
10749,King,Brendel,Engineer,60829,9/26/1985
10749,King,Brendel,Senior Engineer,60829,9/26/1985
10767,Monique,Doering,Staff,40651,7/15/1997
10768,Ishfaq,Candan,Engineer,65717,7/4/1985
10768,Ishfaq,Candan,Senior Engineer,65717,7/4/1985
10778,Selwyn,Merey,Senior Staff,64996,7/4/1986
10909,Georgi,Atchley,Engineer,80935,12/26/1993
10909,Georgi,Atchley,Senior Engineer,80935,12/26/1993
10921,Mara,Bahi,Engineer,72601,7/27/1986
10921,Mara,Bahi,Senior Engineer,72601,7/27/1986
10924,Hironoby,Atchley,Senior Staff,84783,8/14/1988
10924,Hironoby,Atchley,Staff,84783,8/14/1988
10927,Gal,Scallan,Senior Staff,51819,9/12/1986
10927,Gal,Scallan,Staff,51819,9/12/1986
10936,Mountaz,Schicker,Senior Staff,40000,5/9/1990
10936,Mountaz,Schicker,Staff,40000,5/9/1990
10943,Berna,Skafidas,Engineer,45890,5/22/1993
10943,Berna,Skafidas,Senior Engineer,45890,5/22/1993
10965,Eckart,Braunschweig,Senior Staff,61654,7/29/1986
10969,Premal,Noriega,Senior Engineer,40000,5/12/1994
10974,Muneo,Papsdorf,Senior Engineer,56005,5/17/1999
10986,Masako,Schiper,Technique Leader,43900,10/11/1985
10988,Chinya,Deyuan,Senior Engineer,54174,6/19/1985
10835,Tomoyuki,Kermarrec,Engineer,40000,8/22/1995
10836,Jianhua,Leivant,Senior Staff,65502,7/1/1991
10844,Dipayan,Koprowski,Engineer,40000,4/25/1997
10989,Sumali,Candan,Senior Staff,46406,7/20/1985
10989,Sumali,Candan,Staff,46406,7/20/1985
10990,Shin,Foote,Technique Leader,40000,8/6/1990
11009,Alper,Axelband,Senior Staff,75111,9/9/1986
11009,Alper,Axelband,Staff,75111,9/9/1986
11012,Taegyun,Speckmann,Staff,72092,3/16/2000
11019,Leon,Huttel,Engineer,69387,5/24/1992
11019,Leon,Huttel,Senior Engineer,69387,5/24/1992
11021,Srinidhi,Henders,Staff,62670,2/2/1998
10847,Theirry,Danley,Senior Staff,40000,7/25/1986
11027,Remzi,Cappello,Assistant Engineer,40000,5/7/1986
11027,Remzi,Cappello,Engineer,40000,5/7/1986
11027,Remzi,Cappello,Senior Engineer,40000,5/7/1986
11031,Ottavia,Walstra,Senior Staff,71654,10/24/1985
11031,Ottavia,Walstra,Staff,71654,10/24/1985
10847,Theirry,Danley,Staff,40000,7/25/1986
11037,Lansing,Maliniak,Engineer,40000,1/28/1988
11037,Lansing,Maliniak,Senior Engineer,40000,1/28/1988
11038,Jinya,Beidas,Senior Staff,44993,7/15/1985
11038,Jinya,Beidas,Staff,44993,7/15/1985
10848,Fen,Bratsberg,Engineer,50475,4/20/1985
10848,Fen,Bratsberg,Senior Engineer,50475,4/20/1985
10878,Lakshmi,Deville,Staff,72102,4/25/1997
11042,Gou,Breugel,Engineer,40000,6/21/1993
11042,Gou,Breugel,Senior Engineer,40000,6/21/1993
11048,Jaques,Demke,Senior Staff,65697,5/27/1999
11050,Elvis,Katiyar,Senior Staff,52251,5/6/1986
11050,Elvis,Katiyar,Staff,52251,5/6/1986
11051,Przemyslawa,Erol,Engineer,40000,3/27/1991
11051,Przemyslawa,Erol,Senior Engineer,40000,3/27/1991
11070,Adib,Raney,Engineer,40000,7/24/1985
11070,Adib,Raney,Senior Engineer,40000,7/24/1985
11081,Barry,Boyle,Senior Staff,65686,6/17/1985
11081,Barry,Boyle,Staff,65686,6/17/1985
10879,Muzhong,Chleq,Senior Engineer,65651,8/15/1985
10883,Shimshon,Champarnaud,Engineer,40000,12/28/1996
11197,Tadahiro,Fordan,Senior Staff,88741,9/12/1989
11085,Hailing,Thummel,Senior Engineer,66437,2/10/1996
11100,Berna,Cochrane,Senior Staff,40000,10/13/1986
11100,Berna,Cochrane,Staff,40000,10/13/1986
11106,Aris,Iwayama,Assistant Engineer,71446,8/31/1985
11106,Aris,Iwayama,Engineer,71446,8/31/1985
11106,Aris,Iwayama,Senior Engineer,71446,8/31/1985
11112,Boaz,Mukaidono,Staff,40000,4/28/1995
11113,Shahab,Peng,Senior Staff,66401,11/30/1985
11113,Shahab,Peng,Staff,66401,11/30/1985
11121,Vugranam,Kakkad,Engineer,40000,10/31/1992
11121,Vugranam,Kakkad,Senior Engineer,40000,10/31/1992
11133,Nalini,Azulay,Technique Leader,40000,3/6/1994
11134,Sachar,Rajcani,Engineer,58731,5/19/1993
11134,Sachar,Rajcani,Senior Engineer,58731,5/19/1993
11137,Hugh,Luca,Engineer,40000,3/16/1995
11139,Bogdan,Homond,Senior Staff,63596,5/11/1990
11139,Bogdan,Homond,Staff,63596,5/11/1990
11204,Diederik,Covnot,Technique Leader,40000,9/18/1985
11146,Ishfaq,Masand,Senior Staff,96019,8/22/1991
11146,Ishfaq,Masand,Staff,96019,8/22/1991
11148,Zhanqiu,Botman,Senior Staff,56344,12/12/1991
11148,Zhanqiu,Botman,Staff,56344,12/12/1991
11207,Saeed,Gips,Engineer,49728,1/31/1999
11162,Kauko,Narlikar,Engineer,69873,3/28/1985
11162,Kauko,Narlikar,Senior Engineer,69873,3/28/1985
11208,Saniya,Valtorta,Technique Leader,83660,11/17/1994
11211,Yurij,Rissland,Senior Engineer,72668,9/17/1985
11180,Mitsuyuki,Bojadziev,Engineer,40000,6/11/1986
11180,Mitsuyuki,Bojadziev,Senior Engineer,40000,6/11/1986
11217,Kellie,Mawatari,Senior Engineer,40000,3/11/1990
11232,Hidefumi,Crelier,Senior Staff,43863,8/2/1994
11232,Hidefumi,Crelier,Staff,43863,8/2/1994
11240,Kiam,Condotta,Assistant Engineer,61739,1/6/1989
11290,Visit,Dredge,Engineer,65034,5/13/1999
11240,Kiam,Condotta,Engineer,61739,1/6/1989
11295,Abdelkader,Lanzelotte,Senior Staff,66622,5/15/1985
11295,Abdelkader,Lanzelotte,Staff,66622,5/15/1985
11249,Randi,Cyre,Assistant Engineer,43324,9/22/1986
11319,Pranas,Marrakchi,Assistant Engineer,40000,11/1/1998
11249,Randi,Cyre,Engineer,43324,9/22/1986
11320,Atilio,McAlpine,Senior Staff,45118,4/6/1990
11320,Atilio,McAlpine,Staff,45118,4/6/1990
11322,Nathalie,Pocchiola,Assistant Engineer,43021,7/7/1985
11322,Nathalie,Pocchiola,Engineer,43021,7/7/1985
11322,Nathalie,Pocchiola,Senior Engineer,43021,7/7/1985
11251,Bezalel,Chinal,Senior Staff,69432,6/15/1986
11324,Kauko,Billingsley,Senior Engineer,54288,8/29/1985
11251,Bezalel,Chinal,Staff,69432,6/15/1986
11268,Aimee,Petersohn,Engineer,40000,10/25/1987
11338,Kwangsub,Hanratty,Senior Staff,82210,10/28/1998
11339,Flemming,Massonet,Senior Engineer,40000,12/19/1989
11347,Anneli,Jonsson,Engineer,41524,4/20/1986
11347,Anneli,Jonsson,Senior Engineer,41524,4/20/1986
11365,Toshimi,Shinomoto,Engineer,56463,12/18/1997
11376,Valery,Suomi,Senior Staff,46964,3/14/1986
11376,Valery,Suomi,Staff,46964,3/14/1986
11380,Kenroku,Pelc,Assistant Engineer,53345,4/19/1991
11380,Kenroku,Pelc,Engineer,53345,4/19/1991
11380,Kenroku,Pelc,Senior Engineer,53345,4/19/1991
11385,Shiv,Ullian,Engineer,40000,8/8/1999
11386,Alselm,Assaf,Engineer,47726,11/30/1987
11386,Alselm,Assaf,Senior Engineer,47726,11/30/1987
11393,Junsik,Junot,Engineer,40000,4/30/1985
11393,Junsik,Junot,Senior Engineer,40000,4/30/1985
11398,Oscar,Peir,Senior Staff,44625,9/7/1994
11398,Oscar,Peir,Staff,44625,9/7/1994
11404,Bedrich,Borovoy,Technique Leader,42907,9/25/1990
11415,Sanjiv,Anido,Engineer,40000,12/7/1996
11421,Josyula,Msuda,Engineer,52416,9/2/1986
11421,Josyula,Msuda,Senior Engineer,52416,9/2/1986
11441,Marlo,Aingworth,Senior Staff,67352,3/27/1987
11449,Kotesh,Asser,Engineer,61434,2/3/1995
11449,Kotesh,Asser,Senior Engineer,61434,2/3/1995
11459,Duke,Suomi,Senior Staff,40000,5/3/1986
11459,Duke,Suomi,Staff,40000,5/3/1986
11469,Guttorm,Giaccio,Engineer,44625,9/8/1994
11469,Guttorm,Giaccio,Senior Engineer,44625,9/8/1994
11268,Aimee,Petersohn,Senior Engineer,40000,10/25/1987
11275,Hitomi,Eppinger,Engineer,58382,4/25/1989
11275,Hitomi,Eppinger,Senior Engineer,58382,4/25/1989
11603,Herb,Swen,Senior Staff,69180,4/13/1985
11506,Rance,Picel,Staff,89747,4/8/1996
11509,Aleksander,Feldhoffer,Engineer,40000,11/12/1987
11509,Aleksander,Feldhoffer,Senior Engineer,40000,11/12/1987
11513,Otmar,Mahnke,Senior Staff,82525,8/25/1992
11513,Otmar,Mahnke,Staff,82525,8/25/1992
11515,Ulf,Basawa,Staff,70182,9/21/1998
11518,Jinxi,Oxman,Senior Staff,40000,9/22/1994
11518,Jinxi,Oxman,Staff,40000,9/22/1994
11524,Xiadong,Standera,Senior Engineer,41081,7/5/1996
11527,Alagu,Boyle,Staff,60212,1/28/1999
11528,Zito,Dolinsky,Technique Leader,44026,6/15/1987
11537,DAIDA,Pehl,Senior Staff,96023,7/6/1986
11554,Subhash,Taubenfeld,Staff,46065,2/21/1999
11555,Kotesh,Perfilyeva,Senior Staff,40000,10/14/1986
11555,Kotesh,Perfilyeva,Staff,40000,10/14/1986
11567,Teiji,Mitzlaff,Senior Staff,86261,2/3/1988
11567,Teiji,Mitzlaff,Staff,86261,2/3/1988
11568,Martins,Fujisaki,Engineer,54673,3/13/1992
11568,Martins,Fujisaki,Senior Engineer,54673,3/13/1992
11603,Herb,Swen,Staff,69180,4/13/1985
11607,Tomokazu,Foong,Engineer,49584,4/19/1995
11615,Shem,Isaak,Senior Staff,46591,8/29/1991
11615,Shem,Isaak,Staff,46591,8/29/1991
11624,Adil,Gammage,Engineer,42001,7/15/1989
11624,Adil,Gammage,Senior Engineer,42001,7/15/1989
11628,Fan,Malinowski,Engineer,43966,4/23/1995
11628,Fan,Malinowski,Senior Engineer,43966,4/23/1995
11640,Valeri,Coorg,Senior Engineer,52520,9/26/1988
11673,Henk,Felder,Technique Leader,40000,6/10/1989
11676,Valeri,Ferriere,Engineer,43310,7/15/1998
11681,Fumitake,Benzmuller,Engineer,40000,8/27/1988
11681,Fumitake,Benzmuller,Senior Engineer,40000,8/27/1988
11647,Magy,Nitsche,Engineer,40000,5/11/1988
11684,Oksana,Gide,Senior Staff,68753,2/21/1986
11684,Oksana,Gide,Staff,68753,2/21/1986
11647,Magy,Nitsche,Senior Engineer,40000,5/11/1988
11660,Gill,Stenning,Senior Staff,65758,11/22/1986
11696,Dante,Rothe,Senior Staff,51633,10/23/1985
11696,Dante,Rothe,Staff,51633,10/23/1985
11660,Gill,Stenning,Staff,65758,11/22/1986
11769,Chandrasekaran,Lampe,Senior Staff,40000,4/18/1999
11732,Sanjoy,Ranft,Senior Engineer,40000,7/12/2002
11735,Amalendu,Picci,Senior Staff,40000,7/14/1988
11735,Amalendu,Picci,Staff,40000,7/14/1988
11746,Koichi,Marrakchi,Senior Staff,55951,11/17/1988
11746,Koichi,Marrakchi,Staff,55951,11/17/1988
11751,Jiafu,Emiris,Senior Staff,40000,11/3/1988
11751,Jiafu,Emiris,Staff,40000,11/3/1988
11764,Sanjay,Anick,Engineer,64875,12/16/1991
11764,Sanjay,Anick,Senior Engineer,64875,12/16/1991
11769,Chandrasekaran,Lampe,Staff,40000,4/18/1999
11772,Gaurav,Penz,Engineer,61295,11/7/1999
11797,Chenxi,Thambidurai,Senior Staff,88050,9/28/1996
11864,Pradeep,Kriebel,Staff,52517,11/2/1995
11871,Nalini,Sommen,Engineer,67424,10/13/1993
11871,Nalini,Sommen,Senior Engineer,67424,10/13/1993
11872,Cheong,Riexinger,Senior Staff,43159,2/12/1994
11872,Cheong,Riexinger,Staff,43159,2/12/1994
11894,Mitchel,Validov,Senior Engineer,56198,6/22/1988
11897,Cordelia,Setlzner,Senior Staff,80049,6/16/1988
11797,Chenxi,Thambidurai,Staff,88050,9/28/1996
11897,Cordelia,Setlzner,Staff,80049,6/16/1988
11810,Amabile,Bhattacharjee,Senior Engineer,41256,1/5/1992
11906,Hideo,Boguraev,Engineer,81324,2/7/1999
11915,Miomir,Mawatari,Engineer,58042,6/28/1992
11915,Miomir,Mawatari,Senior Engineer,58042,6/28/1992
11817,Niranjan,Markovitch,Senior Staff,50638,4/12/1986
11931,Gunilla,Chiodo,Senior Staff,73369,1/13/1991
11931,Gunilla,Chiodo,Staff,73369,1/13/1991
11933,Basil,Erman,Engineer,56130,6/13/1987
11933,Basil,Erman,Senior Engineer,56130,6/13/1987
11817,Niranjan,Markovitch,Staff,50638,4/12/1986
11832,Arto,Zlotek,Engineer,40000,2/4/1996
11949,Martijn,Harbusch,Technique Leader,40000,3/11/1985
11844,Shawna,Demeyer,Engineer,78049,1/27/1988
11844,Shawna,Demeyer,Senior Engineer,78049,1/27/1988
11853,Zeljko,Kusakabe,Senior Staff,61941,11/17/1988
11853,Zeljko,Kusakabe,Staff,61941,11/17/1988
11857,Divier,Farrag,Senior Staff,94805,8/27/1986
12062,Margareta,Worfolk,Senior Staff,44199,1/4/1996
11983,Jaana,Hedayat,Engineer,40000,10/11/1986
11983,Jaana,Hedayat,Senior Engineer,40000,10/11/1986
11993,Marit,Dalphin,Senior Staff,56505,10/22/1996
12011,Zhilian,Coorg,Senior Staff,85833,7/22/1988
12011,Zhilian,Coorg,Staff,85833,7/22/1988
12069,Ayonca,Burnard,Assistant Engineer,51928,5/13/1985
12069,Ayonca,Burnard,Engineer,51928,5/13/1985
12036,Mads,Ratzlaff,Senior Staff,67143,7/1/1995
12036,Mads,Ratzlaff,Staff,67143,7/1/1995
12037,Arunas,Katzenelson,Senior Staff,47805,10/1/1986
12037,Arunas,Katzenelson,Staff,47805,10/1/1986
12050,Yuchang,Tchuente,Assistant Engineer,46704,4/1/1989
12050,Yuchang,Tchuente,Engineer,46704,4/1/1989
12069,Ayonca,Burnard,Senior Engineer,51928,5/13/1985
12070,Ger,Shokrollahi,Technique Leader,50233,11/14/1988
12076,Karlis,Siprelle,Senior Staff,75381,3/25/1985
12159,Shem,Perly,Senior Engineer,61210,7/17/1985
12165,Xiaobin,Maquelin,Senior Engineer,41951,8/29/1994
12082,Xinan,Yamaashi,Senior Staff,72118,1/29/1986
12082,Xinan,Yamaashi,Staff,72118,1/29/1986
12183,Harngdar,Iisaku,Engineer,40000,4/4/1998
12089,Bilhanan,Socorro,Senior Staff,46288,10/22/1986
12192,Feiyu,Klyachko,Engineer,41625,9/2/1986
12192,Feiyu,Klyachko,Senior Engineer,41625,9/2/1986
12205,Sushant,Rossi,Senior Engineer,40000,11/11/1987
12206,Barton,Janetzko,Assistant Engineer,40000,3/27/1985
12206,Barton,Janetzko,Engineer,40000,3/27/1985
12206,Barton,Janetzko,Senior Engineer,40000,3/27/1985
12089,Bilhanan,Socorro,Staff,46288,10/22/1986
12099,Nobuyoshi,Kuzuoka,Senior Staff,104610,2/15/1994
12218,Yaghout,Strooper,Engineer,40000,3/12/1991
12218,Yaghout,Strooper,Senior Engineer,40000,3/12/1991
12221,Vincent,Melter,Engineer,56736,9/16/1985
12221,Vincent,Melter,Senior Engineer,56736,9/16/1985
12222,Abdelwaheb,Holburn,Senior Staff,55840,8/15/1987
12222,Abdelwaheb,Holburn,Staff,55840,8/15/1987
12223,Niteen,Koyama,Engineer,54459,8/13/1986
12223,Niteen,Koyama,Senior Engineer,54459,8/13/1986
12099,Nobuyoshi,Kuzuoka,Staff,104610,2/15/1994
12112,Satyanarayana,Avouris,Senior Staff,76538,9/26/1989
12247,Subbu,Penttonen,Technique Leader,59183,4/9/1985
12249,Eldridge,Sadowski,Engineer,70099,6/21/1987
12249,Eldridge,Sadowski,Senior Engineer,70099,6/21/1987
12256,Guadalupe,Reghbati,Senior Staff,40000,8/26/1985
12256,Guadalupe,Reghbati,Staff,40000,8/26/1985
12112,Satyanarayana,Avouris,Staff,76538,9/26/1989
12122,Satoru,Krone,Engineer,46398,7/24/1987
12122,Satoru,Krone,Senior Engineer,46398,7/24/1987
12123,Xiahua,Syrzycki,Senior Staff,64879,7/18/1987
12123,Xiahua,Syrzycki,Staff,64879,7/18/1987
12125,Shounak,Erman,Engineer,41215,9/1/1999
12149,Suebskul,Grandbois,Senior Staff,109934,10/1/1988
12365,Kamakshi,Bisiani,Engineer,40000,9/12/1988
12264,Mart,Pagter,Engineer,51816,1/9/1998
12270,Shakhar,Kornyak,Senior Staff,52840,8/19/1989
12270,Shakhar,Kornyak,Staff,52840,8/19/1989
12272,Behnaam,Grandbois,Senior Staff,43811,12/8/1987
12272,Behnaam,Grandbois,Staff,43811,12/8/1987
12308,Mototsugu,Cronau,Senior Staff,58741,9/20/1996
12308,Mototsugu,Cronau,Staff,58741,9/20/1996
12311,Susanne,Lubachevsky,Senior Engineer,40000,10/22/1985
12327,DAIDA,Bruckman,Engineer,67449,10/16/1986
12327,DAIDA,Bruckman,Senior Engineer,67449,10/16/1986
12341,Rasiah,Luga,Engineer,40000,5/25/1985
12341,Rasiah,Luga,Senior Engineer,40000,5/25/1985
12343,Sorina,Slaats,Senior Staff,52134,9/3/2000
12365,Kamakshi,Bisiani,Senior Engineer,40000,9/12/1988
12343,Sorina,Slaats,Staff,52134,9/3/2000
12373,Mooi,Driscoll,Senior Staff,75986,11/11/1993
12395,Sanjit,Felder,Senior Staff,66909,6/5/1995
12399,Mihalis,Luga,Senior Staff,85582,12/7/1987
12399,Mihalis,Luga,Staff,85582,12/7/1987
12411,Shao,Ibel,Senior Staff,97610,8/17/1986
12411,Shao,Ibel,Staff,97610,8/17/1986
12413,Hugh,Gadepally,Engineer,53179,3/4/1994
12413,Hugh,Gadepally,Senior Engineer,53179,3/4/1994
12464,Shai,Milicic,Staff,50448,6/1/1998
12417,Dannz,Spelt,Senior Engineer,67342,2/2/1998
12475,Filipe,Roison,Engineer,40000,4/26/1987
12475,Filipe,Roison,Senior Engineer,40000,4/26/1987
12422,Berhard,Demos,Senior Staff,71376,6/7/1993
12487,Mona,Reghbati,Senior Staff,40000,12/11/1998
12422,Berhard,Demos,Staff,71376,6/7/1993
12489,Arnould,Munck,Senior Engineer,63306,4/11/1986
12490,Jackson,Muchinsky,Engineer,40000,5/9/1994
12490,Jackson,Muchinsky,Senior Engineer,40000,5/9/1994
12454,Kerryn,Farris,Staff,41347,12/18/1998
12497,Stein,Penz,Senior Staff,81191,9/25/1989
12497,Stein,Penz,Staff,81191,9/25/1989
12501,Morrie,Matheson,Senior Staff,76082,6/5/1986
12504,Adly,Rosaz,Engineer,40000,8/14/1997
12514,Tomofumi,Melter,Engineer,54241,11/13/1999
12528,Conor,Cincotta,Senior Staff,40000,9/24/1988
12528,Conor,Cincotta,Staff,40000,9/24/1988
12534,Yongmao,Gerlach,Senior Engineer,66715,8/14/1985
12541,Shih,Nanard,Senior Staff,93105,8/31/1988
12541,Shih,Nanard,Staff,93105,8/31/1988
12589,Anoosh,Chleq,Engineer,59441,9/8/1988
12542,Kazuhide,Bouloucos,Senior Staff,44176,9/12/1987
12542,Kazuhide,Bouloucos,Staff,44176,9/12/1987
12551,Jeane,Tzvieli,Engineer,40000,12/4/1987
12551,Jeane,Tzvieli,Senior Engineer,40000,12/4/1987
12553,Aral,Vesna,Senior Staff,40000,2/28/1987
12557,Stafford,Kopetz,Senior Engineer,41840,9/23/1994
12589,Anoosh,Chleq,Senior Engineer,59441,9/8/1988
12596,Breannda,Roisin,Senior Staff,40000,9/29/1996
12662,Leucio,Alvarado,Assistant Engineer,69016,8/27/1985
12662,Leucio,Alvarado,Engineer,69016,8/27/1985
12663,Nobuyoshi,Stellhorn,Technique Leader,49966,9/29/1986
12601,Ghassan,Simkin,Assistant Engineer,41714,7/9/1992
12664,Zhonghua,Parveen,Staff,40000,3/12/2001
12601,Ghassan,Simkin,Engineer,41714,7/9/1992
12601,Ghassan,Simkin,Senior Engineer,41714,7/9/1992
12608,Nectarios,Mondadori,Senior Staff,40000,2/22/1991
12608,Nectarios,Mondadori,Staff,40000,2/22/1991
12689,Luerbio,Boudaillier,Engineer,59689,11/23/1992
12689,Luerbio,Boudaillier,Senior Engineer,59689,11/23/1992
12691,Oddvar,Gils,Engineer,48493,8/25/1992
12691,Oddvar,Gils,Senior Engineer,48493,8/25/1992
12635,Xinyu,Restivo,Engineer,40000,4/7/1995
12697,Uri,Brizzi,Senior Staff,40000,7/11/1986
12697,Uri,Brizzi,Staff,40000,7/11/1986
12709,Ronghao,Botman,Engineer,45510,2/26/1995
12709,Ronghao,Botman,Senior Engineer,45510,2/26/1995
