emp_no,first_name,last_name,title,from_date,to_date
20712,Valeri,Escriba,Engineer,4/9/1994,5/2/1998
20720,Heejo,Brodie,Senior Staff,12/27/1996,5/17/1997
20885,Otmar,Rothenberg,Engineer,3/14/1989,1/1/9999
21181,Jianhui,Cangellaris,Engineer,10/6/1991,1/1/9999
21181,Jianhui,Cangellaris,Assistant Engineer,10/6/1991,1/1/9999
21188,Piyush,Danecki,Engineer,1/8/2000,1/1/9999
21843,Karsten,Azadmanesh,Senior Engineer,11/29/1985,1/1/9999
21534,Alagu,Luders,Staff,4/3/1996,12/14/1997
21546,Yongmin,Lanteri,Senior Staff,3/19/2002,1/1/9999
21546,Yongmin,Lanteri,Senior Staff,2/16/1988,3/19/2002
21909,Mohammed,Brizzi,Staff,12/28/1991,1/1/9999
21909,Mohammed,Brizzi,Senior Staff,12/28/1991,1/1/9999
22185,Huai,Birch,Engineer,6/12/2002,1/1/9999
22027,Sangeeta,Georg,Staff,7/31/1992,3/14/1998
22185,Huai,Birch,Assistant Engineer,6/12/2002,1/1/9999
22185,Huai,Birch,Engineer,3/26/1996,6/12/2002
22185,Huai,Birch,Assistant Engineer,3/26/1996,6/12/2002
22415,Perla,Jumpertz,Senior Staff,8/24/1994,1/1/9999
22451,Jasminko,Bresenham,Staff,1/19/1994,1/1/9999
22502,Rutger,Binkley,Senior Engineer,10/16/1989,11/2/2001
22451,Jasminko,Bresenham,Senior Staff,1/19/1994,1/1/9999
22451,Jasminko,Bresenham,Staff,12/16/1987,1/19/1994
22451,Jasminko,Bresenham,Senior Staff,12/16/1987,1/19/1994
22455,Barry,Unno,Staff,11/16/1990,1/1/9999
22455,Barry,Unno,Senior Staff,11/16/1990,1/1/9999
22926,Manibrata,Genther,Senior Engineer,1/15/1988,1/1/9999
22926,Manibrata,Genther,Engineer,1/15/1988,1/1/9999
23396,Hilari,Fairtlough,Technique Leader,12/15/1986,1/1/9999
24205,Roddy,Rubsam,Senior Engineer,9/19/1993,1/1/9999
24377,Lubomir,Wroclawski,Senior Engineer,7/25/1993,1/1/9999
24080,Jaana,Perez,Technique Leader,3/11/1996,1/1/9999
24189,Abdelaziz,Atrawala,Staff,3/28/1993,2/23/1997
24377,Lubomir,Wroclawski,Engineer,7/25/1993,1/1/9999
24394,Zhonghui,Conta,Staff,9/10/1994,1/1/9999
24553,Anwar,Passafiume,Staff,1/30/1987,1/1/9999
24553,Anwar,Passafiume,Senior Staff,1/30/1987,1/1/9999
24421,Dannz,Grospietsch,Senior Engineer,9/1/1990,10/12/2000
24571,Cordelia,Gischer,Senior Engineer,3/14/1989,1/1/9999
24571,Cordelia,Gischer,Engineer,3/14/1989,1/1/9999
25488,Ingmar,Basawa,Staff,11/9/1991,1/1/9999
25488,Ingmar,Basawa,Senior Staff,11/9/1991,1/1/9999
26617,Berto,Bruckman,Engineer,11/23/1991,3/27/1994
26476,Bilhanan,Karcich,Staff,4/9/1996,2/4/1997
26503,Shietung,Billingsley,Senior Staff,11/7/1998,12/2/1998
26629,Nevin,Rodham,Senior Staff,12/14/1998,1/1/9999
26671,Jiakeng,Kalorkoti,Senior Engineer,12/25/1994,1/1/9999
26671,Jiakeng,Kalorkoti,Engineer,12/25/1994,1/1/9999
27767,Tooru,Veldwijk,Staff,11/21/1993,1/1/9999
26788,Zongyan,Dalphin,Senior Engineer,4/23/1988,1/1/9999
26788,Zongyan,Dalphin,Engineer,4/23/1988,1/1/9999
27150,Chenyi,Plump,Staff,6/23/1992,5/22/1995
27331,Wanqing,Krohm,Staff,1/22/1991,1/1/9999
27331,Wanqing,Krohm,Senior Staff,1/22/1991,1/1/9999
27378,Piyawadee,Leppanen,Senior Staff,2/25/1999,1/1/9999
27620,Shuji,Kandlur,Senior Engineer,3/2/1990,1/1/9999
27620,Shuji,Kandlur,Engineer,3/2/1990,1/1/9999
27767,Tooru,Veldwijk,Senior Staff,11/21/1993,1/1/9999
29130,Xumin,Thorensen,Staff,4/26/1998,1/1/9999
27686,Manu,Rosiles,Senior Staff,3/3/1998,1/1/9999
27699,Falguni,Pezzoli,Engineer,12/23/1996,1/1/9999
27970,KayLiang,Miyakawa,Technique Leader,11/22/1995,2/7/2000
28193,Xinglin,Mitsuhashi,Senior Engineer,12/14/1988,1/1/9999
28193,Xinglin,Mitsuhashi,Engineer,12/14/1988,1/1/9999
28222,Mayuko,Vitiello,Technique Leader,12/22/1993,10/16/1995
28974,Chenxi,Sundgren,Senior Engineer,9/2/1986,1/1/9999
28988,Tua,Giveon,Technique Leader,9/9/1998,1/1/9999
29380,Satoru,Vidal,Assistant Engineer,5/2/1998,1/1/9999
29265,Gilbert,Calkin,Staff,3/21/1988,1/1/9999
29265,Gilbert,Calkin,Senior Staff,3/21/1988,1/1/9999
29418,Valery,Mersereau,Assistant Engineer,7/1/1998,1/1/9999
29679,Kolar,Steenbeek,Senior Engineer,10/18/1986,1/1/9999
29954,Pranay,Giarratana,Senior Engineer,9/29/1992,1/1/9999
29782,Jouko,Hellwagner,Senior Engineer,10/23/2000,1/1/9999
29782,Jouko,Hellwagner,Senior Engineer,12/21/1994,10/23/2000
30007,Kousuke,Vecchio,Senior Engineer,2/23/1990,1/1/9999
30035,Tetsushi,Conta,Senior Staff,7/4/1995,1/1/9999
30007,Kousuke,Vecchio,Engineer,2/23/1990,1/1/9999
30182,Leon,Potthoff,Senior Engineer,12/8/1985,1/1/9999
30182,Leon,Potthoff,Engineer,12/8/1985,1/1/9999
30465,Randi,Avouris,Senior Engineer,7/16/1986,1/1/9999
30154,Mayuko,Skafidas,Technique Leader,4/19/1999,1/1/9999
30465,Randi,Avouris,Engineer,7/16/1986,1/1/9999
30484,Sailaja,Chvatal,Staff,5/18/1999,1/1/9999
30552,Yishai,Terlouw,Senior Engineer,9/19/1986,1/7/1999
30552,Yishai,Terlouw,Engineer,9/19/1986,1/7/1999
31147,Divine,Sidhu,Senior Staff,7/5/1989,1/1/9999
30695,Gudjon,Majewski,Senior Engineer,10/26/1999,1/1/9999
30938,Yakkov,Samarati,Staff,10/10/1997,1/1/9999
30938,Yakkov,Samarati,Senior Staff,10/10/1997,1/1/9999
30938,Yakkov,Samarati,Staff,5/23/1995,10/10/1997
30938,Yakkov,Samarati,Senior Staff,5/23/1995,10/10/1997
31170,Tuval,Waleschkowski,Senior Staff,10/16/1987,12/14/1988
31341,Oksana,Zultner,Staff,3/23/1991,1/1/9999
31188,Leandro,Gist,Technique Leader,2/3/1993,1/1/9999
31207,Abdelwaheb,Dulin,Senior Engineer,8/5/1993,1/1/9999
31341,Oksana,Zultner,Senior Staff,3/23/1991,1/1/9999
31599,Qingxiang,Gewali,Engineer,9/22/1997,12/1/1998
31514,Harngdar,Schapire,Senior Engineer,11/9/1996,1/1/9999
31514,Harngdar,Schapire,Engineer,11/9/1996,1/1/9999
31629,Toong,Veldwijk,Engineer,7/28/1986,4/26/1996
31568,Mark,Lalonde,Staff,11/24/1996,1/1/9999
31629,Toong,Veldwijk,Assistant Engineer,7/28/1986,4/26/1996
31909,Murthy,Peek,Engineer,10/30/2000,1/1/9999
31909,Murthy,Peek,Engineer,7/19/1994,10/30/2000
32552,Atreye,Stanger,Engineer,9/10/1993,1/1/9999
32347,Terresa,Peres,Staff,9/15/1990,1/1/9999
32347,Terresa,Peres,Senior Staff,9/15/1990,1/1/9999
32552,Atreye,Stanger,Assistant Engineer,9/10/1993,1/1/9999
32844,Tadahiko,Melton,Engineer,1/7/1995,1/1/9999
32622,Piyush,Paciorek,Staff,4/7/1991,7/18/1991
32622,Piyush,Paciorek,Staff,7/18/1991,8/7/1991
32649,Ingmar,Nannarelli,Senior Staff,6/10/1988,1/1/9999
32714,Radoslaw,Maliniak,Staff,9/18/2001,1/1/9999
32714,Radoslaw,Maliniak,Staff,11/17/1997,9/18/2001
33025,Jessie,Thorelli,Senior Staff,12/16/1999,1/1/9999
33606,Clyde,Swift,Staff,11/14/1994,12/29/1996
33215,Steen,Fasbender,Technique Leader,2/14/1993,1/1/9999
33293,Adamantios,Vanwelkenhuysen,Engineer,1/11/1994,8/18/2000
33293,Adamantios,Vanwelkenhuysen,Assistant Engineer,1/11/1994,8/18/2000
34261,Kyoichi,Callaway,Staff,12/30/1990,1/1/9999
33722,Anwar,Collette,Senior Engineer,3/22/1994,2/3/2001
33722,Anwar,Collette,Senior Engineer,2/3/2001,1/1/9999
34077,Angel,Sichman,Staff,11/16/1988,1/1/9999
34077,Angel,Sichman,Senior Staff,11/16/1988,1/1/9999
34261,Kyoichi,Callaway,Senior Staff,12/30/1990,1/1/9999
34446,Chinhyun,Bauknecht,Senior Engineer,12/19/1986,1/1/9999
34452,Naftaly,Foong,Senior Engineer,5/10/1991,1/1/9999
34452,Naftaly,Foong,Engineer,5/10/1991,1/1/9999
34505,Felicidad,Kumaresan,Staff,9/6/1994,1/1/9999
34505,Felicidad,Kumaresan,Senior Staff,9/6/1994,1/1/9999
34533,Erzsebet,Shigei,Senior Engineer,1/21/1991,1/16/1995
34533,Erzsebet,Shigei,Senior Engineer,1/16/1995,1/1/9999
34780,Moni,Kohling,Staff,7/21/1994,9/18/2001
34780,Moni,Kohling,Staff,9/18/2001,1/1/9999
34788,Ennio,Babu,Senior Engineer,8/31/1994,1/1/9999
35044,Jiang,Waschkowski,Senior Engineer,5/27/1989,1/1/9999
34936,Bokyung,Stamatiou,Technique Leader,2/12/1991,1/1/9999
35044,Jiang,Waschkowski,Engineer,5/27/1989,1/1/9999
35087,Leif,Ashish,Staff,10/14/1994,1/1/9999
35087,Leif,Ashish,Senior Staff,10/14/1994,1/1/9999
35642,Ashish,Talmon,Senior Engineer,6/13/1995,2/28/1999
35441,Chandrasekaran,Peek,Senior Engineer,2/7/1988,9/17/1990
35441,Chandrasekaran,Peek,Engineer,2/7/1988,9/17/1990
35441,Chandrasekaran,Peek,Senior Engineer,9/17/1990,1/1/9999
35441,Chandrasekaran,Peek,Engineer,9/17/1990,1/1/9999
35642,Ashish,Talmon,Engineer,6/13/1995,2/28/1999
35642,Ashish,Talmon,Senior Engineer,2/28/1999,1/1/9999
35642,Ashish,Talmon,Engineer,2/28/1999,1/1/9999
36521,Serif,Gladwell,Staff,3/6/1987,1/1/9999
35793,Oscar,Kusalik,Staff,5/11/1991,1/1/9999
35793,Oscar,Kusalik,Senior Staff,5/11/1991,1/1/9999
35798,Ulf,Oberman,Senior Engineer,3/15/1997,1/1/9999
36521,Serif,Gladwell,Senior Staff,3/6/1987,1/1/9999
36733,Uma,Reinhard,Staff,11/1/1997,1/1/9999
37070,Jeong,Undy,Staff,2/13/1985,1/1/9999
36626,Fen,Genin,Senior Staff,5/9/1986,1/1/9999
36844,Hailing,Levergood,Staff,1/12/2000,1/1/9999
37070,Jeong,Undy,Senior Staff,2/13/1985,1/1/9999
37719,Nakhoon,Buescher,Engineer,6/12/1988,1/17/1999
36982,Kotesh,Rajala,Senior Engineer,6/23/1992,1/1/9999
36982,Kotesh,Rajala,Engineer,6/23/1992,1/1/9999
37592,Berni,Stranks,Engineer,11/5/1985,9/19/1992
37719,Nakhoon,Buescher,Assistant Engineer,6/12/1988,1/17/1999
38017,Ulf,Himler,Staff,1/2/1994,8/5/1995
37945,Suzette,Butterworth,Senior Engineer,2/19/1994,1/1/9999
38017,Ulf,Himler,Staff,8/5/1995,11/28/1997
38043,Michaela,Randi,Senior Engineer,11/23/1985,1/1/9999
38043,Michaela,Randi,Engineer,11/23/1985,1/1/9999
38103,Masasuke,Babu,Senior Engineer,3/31/1988,1/1/9999
38168,Fumiko,Deverell,Staff,8/15/1987,1/1/9999
38168,Fumiko,Deverell,Senior Staff,8/15/1987,1/1/9999
38103,Masasuke,Babu,Engineer,3/31/1988,1/1/9999
38550,JoAnne,Baez,Senior Engineer,2/16/1987,1/1/9999
38593,Huei,Orsini,Senior Engineer,6/4/1986,1/1/9999
38593,Huei,Orsini,Engineer,6/4/1986,1/1/9999
38947,Shuichi,Ruemmler,Staff,4/8/1998,1/1/9999
39000,Martijn,Vendrig,Staff,3/3/1997,1/1/9999
39000,Martijn,Vendrig,Senior Staff,3/3/1997,1/1/9999
39036,Changho,Cappelli,Staff,5/4/1996,1/1/9999
38947,Shuichi,Ruemmler,Senior Staff,4/8/1998,1/1/9999
38947,Shuichi,Ruemmler,Staff,3/8/1991,4/8/1998
38947,Shuichi,Ruemmler,Senior Staff,3/8/1991,4/8/1998
40269,Toshiki,Ghazalie,Staff,12/5/1991,1/1/9999
39268,Constantijn,Awdeh,Engineer,10/20/1987,6/10/1990
39301,Rimon,Kawashima,Staff,2/6/1992,1/1/9999
39301,Rimon,Kawashima,Senior Staff,2/6/1992,1/1/9999
39341,Mahmut,Lampe,Senior Engineer,5/11/1985,1/1/9999
39341,Mahmut,Lampe,Engineer,5/11/1985,1/1/9999
39952,Otmar,Sudbeck,Staff,7/22/1998,1/1/9999
40269,Toshiki,Ghazalie,Senior Staff,12/5/1991,1/1/9999
40283,Sudhanshu,Boissier,Senior Engineer,5/11/1985,1/1/9999
40283,Sudhanshu,Boissier,Engineer,5/11/1985,1/1/9999
40301,Spyrose,Felder,Senior Engineer,6/16/1996,10/20/1997
40301,Spyrose,Felder,Senior Engineer,10/20/1997,1/1/9999
40765,Michaela,Ramsak,Staff,12/21/1992,1/1/9999
40536,Harngdar,Bernardinello,Senior Engineer,2/29/1988,1/1/9999
40536,Harngdar,Bernardinello,Engineer,2/29/1988,1/1/9999
40648,Wayne,Erev,Staff,9/19/1990,2/2/1993
40765,Michaela,Ramsak,Senior Staff,12/21/1992,1/1/9999
40773,Shimshon,Aingworth,Staff,4/13/1986,1/1/9999
40773,Shimshon,Aingworth,Senior Staff,4/13/1986,1/1/9999
40785,Youpyo,Castellani,Engineer,9/4/1998,10/14/1999
40983,Marla,Cherinka,Technique Leader,12/1/1986,1/1/9999
41114,Petter,Thummel,Technique Leader,12/24/1995,1/1/9999
41357,Willard,Vernadat,Engineer,3/4/1997,1/1/9999
41137,Bikash,Buchter,Staff,11/23/1987,1/8/1996
41137,Bikash,Buchter,Senior Staff,11/23/1987,1/8/1996
41137,Bikash,Buchter,Staff,1/8/1996,1/1/9999
41137,Bikash,Buchter,Senior Staff,1/8/1996,1/1/9999
41552,Uno,Heyers,Senior Engineer,9/28/1990,11/29/2001
41518,Keung,Schapiro,Senior Engineer,2/8/2001,1/1/9999
41518,Keung,Schapiro,Senior Engineer,4/19/1998,2/8/2001
41520,Xiong,Uhrik,Senior Engineer,3/21/1988,1/1/9999
41552,Uno,Heyers,Engineer,9/28/1990,11/29/2001
41609,Yucai,Simmen,Senior Staff,10/13/1987,1/1/9999
42778,Shuji,Remmers,Staff,12/18/1987,1/1/9999
42778,Shuji,Remmers,Senior Staff,12/18/1987,1/1/9999
42950,Shaleah,Eickenmeyer,Senior Staff,10/9/1993,1/1/9999
42911,Brigham,Eterovic,Senior Engineer,10/8/1994,1/1/9999
42911,Brigham,Eterovic,Engineer,10/8/1994,1/1/9999
42955,Yucel,Lortz,Engineer,2/21/1995,1/1/9999
43358,Ottavia,Mitsuhashi,Staff,8/18/1989,7/13/1996
43154,Maha,Waterhouse,Staff,7/4/1997,1/1/9999
43154,Maha,Waterhouse,Senior Staff,7/4/1997,1/1/9999
43848,Phillip,Oxenboll,Engineer,5/26/1999,1/1/9999
43733,Huei,Boguraev,Staff,12/31/1993,1/1/9999
43733,Huei,Boguraev,Senior Staff,12/31/1993,1/1/9999
44900,Mark,Schwaller,Staff,8/10/1994,1/1/9999
44054,Alenka,Ritcey,Engineer,2/9/1997,1/1/9999
44265,Maria,Eppinger,Engineer,1/30/1997,1/1/9999
44540,Mingzeng,Sadowski,Senior Engineer,11/12/1989,1/1/9999
44959,Volkmar,Uhrik,Senior Engineer,1/16/1988,1/1/9999
44959,Volkmar,Uhrik,Engineer,1/16/1988,1/1/9999
44962,Sariel,Wynblatt,Assistant Engineer,5/18/1996,1/1/9999
44900,Mark,Schwaller,Senior Staff,8/10/1994,1/1/9999
45162,Dulce,Speel,Senior Engineer,10/19/1987,1/1/9999
45162,Dulce,Speel,Engineer,10/19/1987,1/1/9999
46000,Zhaofang,Penn,Staff,7/24/1997,1/1/9999
45590,Masoud,Genin,Technique Leader,2/16/1991,6/1/1994
46000,Zhaofang,Penn,Senior Staff,7/24/1997,1/1/9999
46015,Weiye,Masand,Staff,7/24/1995,1/29/2002
46222,Mrinalini,Strooper,Staff,3/5/1990,9/4/1992
46328,Wuxu,Trogemann,Senior Staff,1/27/1997,1/1/9999
46531,Yaghout,Peng,Assistant Engineer,10/2/1995,10/7/1997
46811,Junsik,Berendt,Senior Engineer,4/27/1988,1/1/9999
46834,Tooru,Daescu,Senior Staff,3/20/1998,1/1/9999
47139,Marco,Usdin,Engineer,10/29/1996,1/1/9999
46943,Pasqua,Maraist,Senior Engineer,12/6/1993,1/1/9999
46943,Pasqua,Maraist,Engineer,12/6/1993,1/1/9999
47016,Toong,Litecky,Staff,3/1/1989,1/1/9999
47016,Toong,Litecky,Senior Staff,3/1/1989,1/1/9999
47702,Juyoung,Vieri,Staff,8/12/1991,1/1/9999
47262,Gonzalo,Binkley,Senior Engineer,8/16/1985,1/1/9999
47262,Gonzalo,Binkley,Engineer,8/16/1985,1/1/9999
47515,Naraig,Jenevein,Senior Engineer,1/18/1987,1/1/9999
48275,Sariel,Massonet,Staff,11/20/1987,1/1/9999
48275,Sariel,Massonet,Senior Staff,11/20/1987,1/1/9999
47702,Juyoung,Vieri,Senior Staff,8/12/1991,1/1/9999
47708,Edwin,Haldar,Senior Staff,7/12/1995,1/1/9999
48882,Leen,Lamparter,Senior Engineer,6/7/1993,1/1/9999
48690,Hitomi,Schaap,Staff,9/27/1999,1/1/9999
48882,Leen,Lamparter,Engineer,6/7/1993,1/1/9999
48904,Yuichiro,Malabarba,Staff,3/7/1994,1/1/9999
48904,Yuichiro,Malabarba,Senior Staff,3/7/1994,1/1/9999
49119,Lena,Peek,Senior Engineer,5/16/1991,1/1/9999
48947,Filipp,Akaboshi,Senior Staff,5/20/1992,1/1/9999
49010,Kazuhisa,Benantar,Staff,3/30/1990,1/1/9999
49010,Kazuhisa,Benantar,Senior Staff,3/30/1990,1/1/9999
49010,Kazuhisa,Benantar,Staff,10/23/1989,3/30/1990
49010,Kazuhisa,Benantar,Senior Staff,10/23/1989,3/30/1990
49017,Filipp,Flanders,Senior Engineer,11/26/1990,1/1/9999
49017,Filipp,Flanders,Engineer,11/26/1990,1/1/9999
49119,Lena,Peek,Engineer,5/16/1991,1/1/9999
49177,Tze,Bach,Engineer,3/9/1999,1/1/9999
49464,Siddarth,Cappelletti,Staff,9/10/1999,1/1/9999
49477,Baocai,Leaver,Senior Staff,8/5/1998,1/1/9999
50293,Xinan,Rindone,Engineer,10/8/1996,1/1/9999
50311,Mooi,Stafford,Senior Engineer,10/6/1996,1/1/9999
50587,Slavian,Yemenis,Technique Leader,8/6/1993,11/18/1994
50360,Sumali,Kushner,Engineer,10/30/1999,10/29/2001
50453,Aron,Harbusch,Staff,10/2/1997,1/1/9999
50831,Marie,Khalid,Senior Engineer,6/11/1996,1/1/9999
50670,Boguslaw,Snedden,Staff,2/20/1985,1/1/9999
50831,Marie,Khalid,Senior Engineer,10/27/1990,6/11/1996
51036,Chriss,Fasbender,Staff,5/23/1995,1/1/9999
50670,Boguslaw,Snedden,Senior Staff,2/20/1985,1/1/9999
51057,Theirry,Albarhamtoshy,Staff,9/27/1991,1/1/9999
51057,Theirry,Albarhamtoshy,Senior Staff,9/27/1991,1/1/9999
51060,Youngkon,Rohrbach,Senior Engineer,10/20/1989,1/1/9999
51060,Youngkon,Rohrbach,Engineer,10/20/1989,1/1/9999
51118,Fumiko,Mundy,Staff,9/22/1998,8/20/2001
51502,Slavian,Munawer,Senior Staff,8/6/1999,9/4/2001
51142,Rosine,Lakshmanan,Senior Engineer,1/31/1986,1/1/9999
51142,Rosine,Lakshmanan,Engineer,1/31/1986,1/1/9999
51868,Remmert,Munke,Assistant Engineer,9/22/1991,5/19/1998
52040,Phule,Heijenga,Staff,2/22/1992,12/8/1996
52040,Phule,Heijenga,Senior Staff,2/22/1992,12/8/1996
52386,Adas,Denti,Staff,5/30/1986,1/1/9999
52038,Chikako,Armand,Senior Engineer,5/18/1985,1/1/9999
52040,Phule,Heijenga,Staff,12/8/1996,1/1/9999
52040,Phule,Heijenga,Senior Staff,12/8/1996,1/1/9999
52386,Adas,Denti,Senior Staff,5/30/1986,1/1/9999
52639,Arup,Colorni,Senior Staff,2/5/1996,1/1/9999
52283,Trygve,Krupka,Staff,3/11/1994,1/1/9999
52283,Trygve,Krupka,Senior Staff,3/11/1994,1/1/9999
52770,Shugo,Yurek,Staff,8/28/1992,1/1/9999
52590,Jouni,Munoz,Staff,10/7/1996,1/1/9999
52590,Jouni,Munoz,Senior Staff,10/7/1996,1/1/9999
52590,Jouni,Munoz,Staff,11/26/1995,10/7/1996
52590,Jouni,Munoz,Senior Staff,11/26/1995,10/7/1996
52599,Augustine,Mungall,Senior Engineer,8/31/1987,1/13/1994
52599,Augustine,Mungall,Engineer,8/31/1987,1/13/1994
52599,Augustine,Mungall,Senior Engineer,1/13/1994,1/1/9999
52599,Augustine,Mungall,Engineer,1/13/1994,1/1/9999
52770,Shugo,Yurek,Senior Staff,8/28/1992,1/1/9999
52778,Alain,Penn,Technique Leader,5/3/1986,1/1/9999
53088,Mechthild,Lamma,Senior Engineer,5/19/1986,6/3/1993
52956,Khalil,Picci,Senior Engineer,3/21/1987,11/24/1998
