emp_no,first_name,last_name,title,salary,from_date
11376,Valery,Suomi,Senior Staff,46964,1994-03-14
11380,Kenroku,Pelc,Senior Engineer,53345,2001-04-18
11385,Shiv,Ullian,Engineer,40000,1999-08-08
11386,Alselm,Assaf,Senior Engineer,47726,1993-11-29
11393,Junsik,Junot,Senior Engineer,40000,1992-04-30
11398,Oscar,Peir,Senior Staff,44625,2001-09-07
11404,Bedrich,Borovoy,Technique Leader,42907,1990-09-25
11415,Sanjiv,Anido,Engineer,40000,1996-12-07
11421,Josyula,Msuda,Senior Engineer,52416,1995-09-02
11441,Marlo,Aingworth,Senior Staff,67352,1987-03-27
11449,Kotesh,Asser,Senior Engineer,61434,2000-02-03
11459,Duke,Suomi,Senior Staff,40000,1992-05-02
11469,Guttorm,Giaccio,Senior Engineer,44625,1999-09-08
11506,Rance,Picel,Staff,89747,1996-04-08
11509,Aleksander,Feldhoffer,Senior Engineer,40000,1992-11-11
11513,Otmar,Mahnke,Senior Staff,82525,1998-08-25
11515,Ulf,Basawa,Staff,70182,1998-09-21
11518,Jinxi,Oxman,Senior Staff,40000,1999-09-22
11524,Xiadong,Standera,Senior Engineer,41081,1996-07-05
11527,Alagu,Boyle,Staff,60212,1999-01-28
11528,Zito,Dolinsky,Technique Leader,44026,1987-06-15
11537,DAIDA,Pehl,Senior Staff,96023,1986-07-06
11554,Subhash,Taubenfeld,Staff,46065,1998-07-15
11555,Kotesh,Perfilyeva,Senior Staff,40000,1991-10-14
11567,Teiji,Mitzlaff,Senior Staff,86261,1996-02-03
11568,Martins,Fujisaki,Senior Engineer,54673,2000-03-13
11603,Herb,Swen,Senior Staff,69180,1994-04-13
11607,Tomokazu,Foong,Engineer,49584,1995-04-19
11615,Shem,Isaak,Senior Staff,46591,2000-08-28
11624,Adil,Gammage,Senior Engineer,42001,1996-07-15
11628,Fan,Malinowski,Senior Engineer,43966,1997-10-23
11640,Valeri,Coorg,Senior Engineer,52520,1988-09-26
11647,Magy,Nitsche,Senior Engineer,40000,1993-05-11
11660,Gill,Stenning,Senior Staff,65758,1994-11-22
11673,Henk,Felder,Technique Leader,40000,1989-06-10
11676,Valeri,Ferriere,Engineer,43310,1998-07-15
11681,Fumitake,Benzmuller,Senior Engineer,40000,1995-08-28
11684,Oksana,Gide,Senior Staff,68753,1995-02-21
11696,Dante,Rothe,Senior Staff,51633,1994-10-23
11732,Sanjoy,Ranft,Senior Engineer,40000,1996-12-22
11735,Amalendu,Picci,Senior Staff,40000,1997-07-14
11746,Koichi,Marrakchi,Senior Staff,55951,1995-11-18
11751,Jiafu,Emiris,Senior Staff,40000,1993-11-03
11764,Sanjay,Anick,Senior Engineer,64875,1996-12-15
11769,Chandrasekaran,Lampe,Senior Staff,40000,2001-10-22
11772,Gaurav,Penz,Engineer,61295,1999-11-07
11797,Chenxi,Thambidurai,Senior Staff,88050,1996-08-30
11810,Amabile,Bhattacharjee,Senior Engineer,41256,1992-01-05
11817,Niranjan,Markovitch,Senior Staff,50638,1993-04-12
11832,Arto,Zlotek,Engineer,40000,1996-02-04
11844,Shawna,Demeyer,Senior Engineer,78049,1995-01-27
11853,Zeljko,Kusakabe,Senior Staff,61941,1996-11-17
11857,Divier,Farrag,Senior Staff,94805,1986-08-27
11864,Pradeep,Kriebel,Staff,52517,1995-11-02
11871,Nalini,Sommen,Senior Engineer,67424,1998-10-13
11872,Cheong,Riexinger,Senior Staff,43159,2002-02-12
11894,Mitchel,Validov,Senior Engineer,56198,1988-06-22
11897,Cordelia,Setlzner,Senior Staff,80049,1997-06-16
11906,Hideo,Boguraev,Engineer,81324,1999-02-07
11915,Miomir,Mawatari,Senior Engineer,58042,2001-06-28
11931,Gunilla,Chiodo,Senior Staff,73369,2000-01-13
11933,Basil,Erman,Senior Engineer,56130,1992-06-12
11949,Martijn,Harbusch,Technique Leader,40000,1985-03-11
11983,Jaana,Hedayat,Senior Engineer,40000,1994-10-11
11993,Marit,Dalphin,Senior Staff,56505,1996-10-22
12011,Zhilian,Coorg,Senior Staff,85833,1997-07-22
12036,Mads,Ratzlaff,Senior Staff,67143,1995-09-05
12037,Arunas,Katzenelson,Senior Staff,47805,1992-09-30
12050,Yuchang,Tchuente,Engineer,46704,1996-04-01
12062,Margareta,Worfolk,Senior Staff,44199,1996-01-04
12069,Ayonca,Burnard,Senior Engineer,51928,1995-05-13
12070,Ger,Shokrollahi,Technique Leader,50233,1988-11-14
12076,Karlis,Siprelle,Senior Staff,75381,1985-03-25
12082,Xinan,Yamaashi,Senior Staff,72118,1992-01-29
12089,Bilhanan,Socorro,Senior Staff,46288,1994-10-22
12099,Nobuyoshi,Kuzuoka,Senior Staff,104610,1999-02-15
12112,Satyanarayana,Avouris,Senior Staff,76538,1997-09-26
12122,Satoru,Krone,Senior Engineer,46398,1992-07-23
12123,Xiahua,Syrzycki,Senior Staff,64879,1994-07-18
12125,Shounak,Erman,Engineer,41215,1997-03-31
12149,Suebskul,Grandbois,Senior Staff,109934,1988-10-01
12159,Shem,Perly,Senior Engineer,61210,1985-07-17
12165,Xiaobin,Maquelin,Senior Engineer,41951,1994-08-29
12183,Harngdar,Iisaku,Engineer,40000,1998-04-04
12192,Feiyu,Klyachko,Senior Engineer,41625,1991-09-02
12205,Sushant,Rossi,Senior Engineer,40000,1987-11-11
12206,Barton,Janetzko,Senior Engineer,40000,2001-03-27
12218,Yaghout,Strooper,Senior Engineer,40000,2000-03-11
12221,Vincent,Melter,Senior Engineer,56736,1991-09-16
12222,Abdelwaheb,Holburn,Senior Staff,55840,1996-08-14
12223,Niteen,Koyama,Senior Engineer,54459,1995-08-13
12247,Subbu,Penttonen,Technique Leader,59183,1985-04-09
12249,Eldridge,Sadowski,Senior Engineer,70099,1996-06-20
12256,Guadalupe,Reghbati,Senior Staff,40000,1992-08-26
12264,Mart,Pagter,Engineer,51816,1998-01-09
12270,Shakhar,Kornyak,Senior Staff,52840,1996-08-19
12272,Behnaam,Grandbois,Senior Staff,43811,1992-12-07
12308,Mototsugu,Cronau,Senior Staff,58741,1991-08-11
12311,Susanne,Lubachevsky,Senior Engineer,40000,1985-10-22
12327,DAIDA,Bruckman,Senior Engineer,67449,1992-10-15
12341,Rasiah,Luga,Senior Engineer,40000,1990-05-25
12343,Sorina,Slaats,Senior Staff,52134,1997-08-25
12365,Kamakshi,Bisiani,Senior Engineer,40000,1994-09-12
12373,Mooi,Driscoll,Senior Staff,75986,1993-11-11
12395,Sanjit,Felder,Senior Staff,66909,1995-06-05
12399,Mihalis,Luga,Senior Staff,85582,1996-12-06
12411,Shao,Ibel,Senior Staff,97610,1991-08-17
12413,Hugh,Gadepally,Senior Engineer,53179,1999-03-04
12417,Dannz,Spelt,Senior Engineer,67342,1998-02-02
12422,Berhard,Demos,Senior Staff,71376,2001-06-07
12454,Kerryn,Farris,Staff,41347,1998-12-18
12464,Shai,Milicic,Staff,50448,1998-06-01
12475,Filipe,Roison,Senior Engineer,40000,1996-04-25
12487,Mona,Reghbati,Senior Staff,40000,1998-12-07
12489,Arnould,Munck,Senior Engineer,63306,1986-04-11
12490,Jackson,Muchinsky,Senior Engineer,40000,2000-05-08
12497,Stein,Penz,Senior Staff,81191,1997-09-25
12501,Morrie,Matheson,Senior Staff,76082,1986-06-05
12504,Adly,Rosaz,Engineer,40000,1997-08-14
12514,Tomofumi,Melter,Engineer,54241,1999-11-13
12528,Conor,Cincotta,Senior Staff,40000,1997-09-24
12534,Yongmao,Gerlach,Senior Engineer,66715,1985-08-14
12541,Shih,Nanard,Senior Staff,93105,1996-08-31
12542,Kazuhide,Bouloucos,Senior Staff,44176,1993-09-11
12551,Jeane,Tzvieli,Senior Engineer,40000,1993-12-03
12553,Aral,Vesna,Senior Staff,40000,1987-02-28
12557,Stafford,Kopetz,Senior Engineer,41840,1988-03-20
12589,Anoosh,Chleq,Senior Engineer,59441,1997-09-08
12596,Breannda,Roisin,Senior Staff,40000,1996-09-29
12601,Ghassan,Simkin,Senior Engineer,41714,2002-07-09
12608,Nectarios,Mondadori,Senior Staff,40000,2000-02-22
12635,Xinyu,Restivo,Senior Engineer,40000,2000-02-03
12638,Yuqun,Seiwald,Engineer,56677,1999-04-29
12642,Suebskul,Gips,Senior Staff,68271,2001-10-28
12651,Pragnesh,Bael,Senior Staff,75150,1988-01-27
12662,Leucio,Alvarado,Engineer,69016,1994-08-27
12663,Nobuyoshi,Stellhorn,Technique Leader,49966,1986-09-29
12664,Zhonghua,Parveen,Staff,40000,1999-08-04
12689,Luerbio,Boudaillier,Senior Engineer,59689,2001-11-23
12691,Oddvar,Gils,Senior Engineer,48493,1998-08-25
12697,Uri,Brizzi,Senior Staff,40000,1994-07-11
12709,Ronghao,Botman,Senior Engineer,45510,2001-02-25
12717,Tzu,Jiafu,Staff,53194,1999-10-20
12722,Elliott,Cheshire,Senior Staff,62325,1985-03-29
12726,Fumitake,Panwar,Senior Engineer,61177,1994-05-19
12729,Nahla,Rahier,Senior Engineer,51796,1997-10-15
12731,Yongmao,Waymire,Senior Staff,40000,1988-04-05
12732,Mara,Takanami,Senior Staff,74436,1988-04-06
12734,Gil,Frijda,Senior Engineer,40000,1986-03-03
12755,Rildo,Rodite,Senior Staff,40196,1994-03-18
12773,Jenwei,Lovengreen,Senior Engineer,65556,1994-03-05
12790,Gunilla,Perl,Senior Staff,87760,2000-08-07
12795,Masoud,Fordan,Senior Staff,56969,1997-06-23
12798,Lillian,Beeson,Senior Staff,81145,1996-12-26
12803,Gad,Boissier,Senior Staff,91789,1990-03-16
12815,Sushant,Junot,Senior Staff,65073,1993-02-27
12819,Mountaz,Gubsky,Senior Engineer,48455,1996-09-09
12848,Kazuhide,Smeets,Engineer,40000,1997-05-11
12863,Leif,Matheson,Senior Engineer,62803,1990-09-06
12872,Marl,Schmittgen,Senior Staff,56040,1993-09-09
12879,Baruch,Eugenio,Senior Engineer,40000,1995-06-11
12890,Neven,Casley,Senior Staff,66803,1985-10-31
12893,Licheng,Crouzet,Senior Staff,50803,1995-03-18
12895,Roddy,Serot,Senior Engineer,40000,1993-08-15
12905,Munehiro,Gecsei,Senior Engineer,58659,1993-07-18
12926,Heekeun,Luby,Senior Staff,68314,1992-12-24
12940,Odinaldo,Farrar,Senior Engineer,49760,1992-12-11
12941,Tommaso,Perelgut,Senior Engineer,67069,1995-11-06
12949,Geoff,Asrin,Senior Engineer,40000,1992-02-12
12977,Byong,Markovitch,Senior Engineer,61326,1992-08-23
12983,Elliott,Hambrick,Staff,57252,1999-06-28
13030,Yahiko,Kroll,Senior Staff,51770,1999-11-25
13046,Vivian,Stafford,Senior Staff,40000,1987-04-19
13047,Atilio,Chelton,Senior Engineer,52323,1997-02-25
13075,Rosella,Morrin,Senior Staff,40000,1991-08-17
13076,Deniz,Skafidas,Engineer,50582,1995-01-28
13096,Ibibia,Armand,Senior Engineer,52544,2001-04-22
13103,Srinidhi,Ellozy,Senior Engineer,40000,1988-06-19
13124,Quingbo,Garnick,Senior Staff,73785,1985-03-17
13133,Guther,Senzako,Senior Staff,67777,1991-09-03
13134,Lorien,Chepyzhov,Senior Engineer,51227,1993-10-22
13144,Persi,Nollmann,Senior Staff,52825,1997-06-19
13146,Haldon,Erie,Senior Staff,61398,1985-05-25
13147,Shichao,Ginesta,Senior Staff,77429,1998-06-29
13156,Akeel,Millington,Senior Engineer,48285,2000-08-18
13165,Lucian,Benner,Senior Engineer,42796,1995-03-17
13168,Munir,Stentiford,Senior Engineer,49210,1992-09-10
13170,Cheong,Bernardeschi,Senior Staff,49012,1998-01-09
13171,Anoosh,Birnbaum,Senior Engineer,40000,1995-08-31
13173,Arve,Horswill,Senior Staff,46354,1996-09-23
13179,Moty,Janocha,Staff,90233,1999-02-19
13182,Kokou,Rodite,Engineer,46832,1999-03-03
13186,Kyoichi,Barbanera,Senior Staff,93138,1995-04-29
13192,Rosita,Flowers,Technique Leader,43986,1993-02-01
13202,Aram,Scharstein,Senior Staff,51915,1992-03-28
13210,Jianhua,Klassen,Senior Staff,83961,2002-07-27
13213,Hein,Billawala,Senior Staff,61131,1993-08-30
13232,Mitchel,Fujisaki,Technique Leader,40000,1986-06-02
13233,Alselm,Chvatal,Senior Engineer,49414,1995-03-31
13238,Ebru,Foote,Senior Staff,40000,1998-10-10
13240,King,Pileggi,Senior Engineer,49018,2001-03-10
13250,Zeydy,Schusler,Senior Engineer,47829,1998-10-27
13272,Arun,Jiang,Senior Staff,40000,1985-03-10
13276,Yechiam,Seuren,Senior Staff,65836,1991-03-09
13288,Muneo,Broomell,Senior Staff,40000,1995-04-14
13291,Georg,Stamatiou,Senior Engineer,54720,1993-10-30
13302,Mack,Alencar,Senior Engineer,40000,1997-09-26
13315,Sakthirel,Stroustrup,Senior Engineer,40000,1999-06-02
13332,Nidapan,Pearson,Senior Engineer,40000,1997-09-23
13333,Yoshinari,Hennebert,Engineer,50997,1996-03-23
13341,Bodh,Doering,Senior Staff,40000,1992-03-10
13343,Heon,Usery,Senior Staff,40000,1995-07-30
13368,Kiyokazu,Klassen,Staff,52872,1997-09-30
13371,Nakhoon,Riexinger,Senior Engineer,40000,1991-12-13
13373,Juichirou,Naumovich,Senior Staff,82749,2000-08-23
13385,Claudi,Buchter,Senior Staff,40000,1986-06-10
13386,Khosrow,Sgarro,Technique Leader,91420,1986-02-23
13389,Divine,Cmelik,Senior Staff,40000,1988-03-23
13392,Fumitake,Beidas,Senior Staff,69221,1993-08-26
13396,Chuanyi,Aumann,Senior Staff,40000,1994-03-29
13402,Augustine,Dulli,Engineer,40000,1999-09-12
13405,Randy,Baba,Senior Staff,60799,1990-05-10
13407,Gio,Chenoweth,Senior Engineer,60348,2001-10-03
13408,Sreekrishna,Lagarias,Senior Engineer,52479,2000-07-24
13415,Nathalie,Speer,Technique Leader,61838,1991-04-25
13422,Vishwani,Gerlach,Senior Engineer,59466,1995-01-17
13442,Giordano,Miake,Senior Staff,40000,1994-06-16
13443,Mayuko,Puppo,Senior Engineer,40000,1996-12-25
13445,Renee,Dehkordi,Engineer,53194,1996-11-29
13451,Gretta,Weiland,Senior Staff,40000,1995-08-23
13457,Shooichi,Parfitt,Senior Engineer,40812,1991-01-18
13458,Feipei,Nivat,Senior Engineer,41375,1995-03-02
13463,Theron,Berstel,Senior Engineer,40000,1993-01-25
13465,Sasan,Rehfuss,Engineer,49821,1999-03-12
13493,Uinam,Jullig,Senior Engineer,40000,1992-09-06
13504,Parto,Mandell,Engineer,41895,1994-12-21
13524,Chaoyi,Porotnikoff,Senior Staff,52849,2000-10-27
13535,Arunas,Schlenzig,Senior Engineer,40000,2000-05-19
13546,Aimee,Brookner,Senior Engineer,50295,1997-10-26
13549,Matk,Koprowski,Technique Leader,40000,1997-06-18
13552,Ingmar,Capobianchi,Senior Staff,73346,1993-03-23
13576,Jungsoon,Engberts,Senior Staff,73022,2001-08-29
13605,Dmitry,Encarnacion,Senior Staff,70404,1991-09-29
13621,Fei,Haddadi,Engineer,73192,1995-02-09
13624,Zhigen,Yurek,Senior Staff,40000,1996-05-11
13629,Dzung,Trelles,Senior Engineer,40000,1994-01-03
13648,Zejun,Lamba,Technique Leader,47723,1985-11-16
13653,Kristen,Iivonen,Senior Staff,53242,2000-01-17
13670,Moti,Takanami,Senior Engineer,40000,1988-06-30
13680,Denny,Speer,Staff,46968,1996-02-05
13685,Weicheng,Hockney,Senior Engineer,48322,1999-11-29
13697,Shuichi,Weedon,Technique Leader,40000,1985-06-20
13704,Vishu,Kumaresan,Senior Engineer,40000,1995-10-01
13721,Sugwoo,Delgrossi,Senior Staff,64754,2001-09-20
13727,Vitali,Merey,Staff,50798,1999-10-07
13738,Bangqing,Mitchem,Engineer,48349,1998-06-30
13766,Tremaine,Heemskerk,Senior Staff,43748,1986-08-18
13769,Yakichi,Trogemann,Senior Staff,61025,1988-10-18
13775,Arve,Maierhofer,Senior Staff,70161,1994-10-21
13786,Takushi,Berendt,Senior Staff,74494,1995-05-19
13787,Xiaobin,Sinicrope,Senior Engineer,40000,1996-10-29
13792,Valery,Sury,Senior Staff,59127,1991-07-27
13796,Paloma,Thorelli,Engineer,50962,1996-01-01
13809,Kiyotoshi,Basagni,Senior Staff,43735,1991-01-12
13815,Guadalupe,Plotkin,Senior Engineer,40000,1993-09-09
13825,Arlette,Pell,Technique Leader,54704,1986-08-02
13841,Christophe,Spinelli,Technique Leader,52277,1992-02-01
13842,Juichirou,Cichocki,Senior Staff,40000,2000-04-20
13846,Guiseppe,Welham,Senior Staff,61097,1985-03-20
13853,Mingsen,Roohalamini,Senior Staff,61615,1991-03-25
13859,Anoosh,Fujisawa,Senior Engineer,40000,1992-08-22
13884,Kensei,Swift,Engineer,44785,1998-12-21
13894,Ult,Schonegge,Engineer,48958,1995-11-28
13904,Youngkon,Cairo,Senior Engineer,73885,1987-09-03
13934,Shiv,Bratsberg,Senior Engineer,46507,1990-04-05
13942,Elzbieta,Esteva,Technique Leader,40000,1997-10-13
13951,Mooi,Genther,Senior Staff,82054,1990-12-28
13960,Nechama,Hettesheimer,Senior Staff,43204,1996-04-06
13962,Maris,Ghelli,Senior Engineer,67965,1994-10-26
13966,Boguslaw,Cooman,Senior Staff,40000,1990-12-26
13969,Jianwen,Chandrasekhar,Technique Leader,60392,1985-05-29
13990,Deborah,Schapiro,Engineer,52723,1996-06-10
13992,Ulises,Kenevan,Senior Staff,81318,1994-07-27
13999,Florian,Crouzet,Senior Staff,40000,2000-02-25
14005,Vojin,Stellhorn,Technique Leader,40000,1985-05-10
14015,Manibrata,Picaronny,Senior Engineer,63084,1997-08-15
14034,Aloys,Seghrouchni,Senior Staff,69700,1991-08-26
14041,Shan,DeMori,Senior Staff,63235,1995-12-22
14067,Godehard,Trachtenberg,Senior Engineer,44669,2000-02-14
14088,Mori,Leslie,Senior Staff,44821,1994-11-10
14107,Xiahua,Rindone,Senior Staff,82396,1999-12-15
14111,Leszek,Cummings,Senior Staff,52696,1999-09-26
14118,Kasturi,Anido,Senior Staff,46248,1985-04-06
14167,Adas,Hertweck,Senior Engineer,40000,1994-12-01
14191,Jiann,Luby,Senior Engineer,40155,1993-01-15
14209,Masanao,Kusakabe,Senior Staff,40000,1988-04-06
14220,Tomofumi,Pargas,Senior Engineer,68017,1987-12-02
14232,Masali,Bojadziev,Senior Engineer,50568,1999-09-10
14236,Xuedong,Angiulli,Senior Staff,40000,1988-11-07
14237,Abdulla,Gerlach,Senior Engineer,57219,1994-06-13
14242,Sudhanshu,Benaini,Senior Staff,40000,1992-06-27
14257,Kwok,Massonet,Staff,40000,1998-02-04
14290,Miyeon,Olivero,Senior Engineer,78736,1992-03-29
14292,Susanna,Vigier,Senior Staff,41846,1997-02-18
14298,Chriss,Granlund,Senior Engineer,40000,2001-01-06
14310,Marlo,Leuchs,Senior Staff,40000,1987-02-23
